slug,agency,city,state,is_portal,portal_url,connection_count,latitude,longitude
monterey-park-ca-pd,Monterey Park CA PD,Monterey Park,CA,True,https://transparency.flocksafety.com/monterey-park-ca-pd,231,34.0484,-118.1332
morgan-hill-ca-pd,Morgan Hill CA PD,Morgan Hill,CA,True,https://transparency.flocksafety.com/morgan-hill-ca-pd,163,37.1325,-121.6419
mountain-view-ca-pd,Mountain View CA PD,Mountain View,CA,True,https://transparency.flocksafety.com/mountain-view-ca-pd,1,37.3997,-122.0793
murrieta-ca-pd,Murrieta CA PD,Murrieta,CA,True,https://transparency.flocksafety.com/murrieta-ca-pd,333,33.5721,-117.1904
ncric,NCRIC CA PD,NCRIC,CA,True,https://transparency.flocksafety.com/ncric,0,37.7819,-122.4181
napa-ca-pd,Napa CA PD,Napa,CA,True,https://transparency.flocksafety.com/napa-ca-pd,303,38.2979,-122.3007
napa-county-ca-so,Napa County CA SO,Napa County,CA,True,https://transparency.flocksafety.com/napa-county-ca-so,343,38.2979,-122.3007
national-city-ca-pd,National City CA PD,National City,CA,True,https://transparency.flocksafety.com/national-city-ca-pd,323,32.6659,-117.0974
nevada-county-ca-so,Nevada County CA SO,Nevada County,CA,True,https://transparency.flocksafety.com/nevada-county-ca-so,126,39.2975,-120.7713
newport-beach-pd-ca,Newport Beach CA PD,Newport Beach,CA,True,https://transparency.flocksafety.com/newport-beach-pd-ca,318,33.5973,-117.8904
novato-ca-pd,Novato CA PD,Novato,CA,True,https://transparency.flocksafety.com/novato-ca-pd,339,38.0851,-122.5483
oakland-ca-pd,Oakland CA PD,Oakland,CA,True,https://transparency.flocksafety.com/oakland-ca-pd,135,37.7698,-122.2257
oakley-ca-pd,Oakley CA PD,Oakley,CA,True,https://transparency.flocksafety.com/oakley-ca-pd,347,37.9961,-121.6936
oceanside-ca-pd,Oceanside CA PD,Oceanside,CA,True,https://transparency.flocksafety.com/oceanside-ca-pd,319,33.2246,-117.3063
ontario-ca-pd,Ontario CA PD,Ontario,CA,True,https://transparency.flocksafety.com/ontario-ca-pd,340,34.0376,-117.6044
orange-ca-pd,Orange CA PD,Orange,CA,True,https://transparency.flocksafety.com/orange-ca-pd,318,33.787,-117.8613
oroville-ca-pd,Oroville CA PD,Oroville,CA,True,https://transparency.flocksafety.com/oroville-ca-pd,92,39.4954,-121.5601
oxnard-ca-pd-,Oxnard CA PD,Oxnard,CA,True,https://transparency.flocksafety.com/oxnard-ca-pd-,4,34.1994,-119.2075
pacific-grove-ca-pd,Pacific Grove CA PD,Pacific Grove,CA,True,https://transparency.flocksafety.com/pacific-grove-ca-pd,122,36.6226,-121.9264
pacifica-ca-pd,Pacifica CA PD,Pacifica,CA,True,https://transparency.flocksafety.com/pacifica-ca-pd,189,37.6066,-122.4772
palm-springs-ca-pd,Palm Springs CA PD,Palm Springs,CA,True,https://transparency.flocksafety.com/palm-springs-ca-pd,171,33.8034,-116.5383
palo-alto-ca-pd,Palo Alto CA PD,Palo Alto,CA,True,https://transparency.flocksafety.com/palo-alto-ca-pd,136,37.3965,-122.1431
pasadena-ca-pd,Pasadena CA PD,Pasadena,CA,True,https://transparency.flocksafety.com/pasadena-ca-pd,325,34.1606,-118.138
petaluma-ca-pd,Petaluma CA PD,Petaluma,CA,True,https://transparency.flocksafety.com/petaluma-ca-pd,218,38.2423,-122.6288
piedmont-ca-pd,Piedmont CA PD,Piedmont,CA,True,https://transparency.flocksafety.com/piedmont-ca-pd,91,37.8225,-122.23
placer-county-ca-so,Placer County CA SO,Placer County,CA,True,https://transparency.flocksafety.com/placer-county-ca-so,356,39.062,-120.7227
