data_owner_slug,data_owner_agency,data_owner_city,data_owner_state,agency_with_access_slug,agency_with_access,agency_with_access_city,agency_with_access_state,relationship,owner_portal_url,source,source_generated_at
sidney-oh-pd,Sidney OH PD,Sidney,OH,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sidney-oh-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sidney-oh-pd,Sidney OH PD,Sidney,OH,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sidney-oh-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sidney-oh-pd,Sidney OH PD,Sidney,OH,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sidney-oh-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
slinger-wi-pd,Slinger WI PD,Slinger,WI,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/slinger-wi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
slinger-wi-pd,Slinger WI PD,Slinger,WI,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/slinger-wi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
slinger-wi-pd,Slinger WI PD,Slinger,WI,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/slinger-wi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
slinger-wi-pd,Slinger WI PD,Slinger,WI,south-chicago-heights-il-pd,South Chicago Heights IL PD,South Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/slinger-wi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
slinger-wi-pd,Slinger WI PD,Slinger,WI,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/slinger-wi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
slinger-wi-pd,Slinger WI PD,Slinger,WI,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/slinger-wi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sparta-tn-pd,Sparta TN PD,Sparta,TN,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sparta-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sparta-tn-pd,Sparta TN PD,Sparta,TN,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sparta-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sparta-tn-pd,Sparta TN PD,Sparta,TN,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sparta-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
spring-hill-tn-pd,Spring Hill TN PD,Spring Hill,TN,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/spring-hill-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
spring-hill-tn-pd,Spring Hill TN PD,Spring Hill,TN,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/spring-hill-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
spring-hill-tn-pd,Spring Hill TN PD,Spring Hill,TN,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/spring-hill-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
spring-hill-tn-pd,Spring Hill TN PD,Spring Hill,TN,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/spring-hill-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
springfield-mo-pd,Springfield MO PD,Springfield,MO,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/springfield-mo-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
springfield-oh-pd,Springfield OH PD,Springfield,OH,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/springfield-oh-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
springfield-oh-pd,Springfield OH PD,Springfield,OH,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/springfield-oh-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
springfield-oh-pd,Springfield OH PD,Springfield,OH,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/springfield-oh-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
st-charles-il-pd,St Charles IL PD,St. Charles,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/st-charles-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
st-charles-il-pd,St Charles IL PD,St. Charles,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/st-charles-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
st-charles-il-pd,St Charles IL PD,St. Charles,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/st-charles-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
st-charles-il-pd,St Charles IL PD,St. Charles,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/st-charles-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
st-charles-il-pd,St Charles IL PD,St. Charles,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/st-charles-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
st-francois-county-mo-so,St. Francois County MO SO,St. Francois County,MO,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/st-francois-county-mo-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
